lake,state,year,julian_day,julian_date,source,april_mean_temp,temp_comment,lyme_per_100k,lc
Lake Auburn,Maine,1998,98,199898,USGS,42.9,Bangor INTL Airport,,
Lake Auburn,Maine,1999,97,199997,USGS,44,Bangor INTL Airport,,
Lake Auburn,Maine,2000,97,200097,USGS,42,Bangor INTL Airport,,
Lake Auburn,Maine,2001,118,2001118,USGS,41,Bangor INTL Airport,8.4,Maine CDC
Lake Auburn,Maine,2002,94,200294,USGS,42.5,Bangor INTL Airport,16.7,Maine CDC
Lake Auburn,Maine,2003,116,2003116,USGS,39.2,Bangor INTL Airport,13.4,Maine CDC
Lake Auburn,Maine,2004,105,2004105,USGS,42.4,Bangor INTL Airport,17.1,Maine CDC
Lake Auburn,Maine,2005,110,2005110,USGS,44.6,Bangor INTL Airport,18.6,Maine CDC
Lake Auburn,Maine,2006,90,200690,USGS,44.7,Bangor INTL Airport,25.5,Maine CDC
Lake Auburn,Maine,2007,114,2007114,USGS,39.9,Bangor INTL Airport,39.9,Maine CDC
Lake Auburn,Maine,2008,114,2008114,USGS,44.1,Bangor INTL Airport,68.3,Maine CDC
Lake Auburn,Maine,2009,,2009,,45.6,Bangor INTL Airport,73.4,Maine CDC
Lake Auburn,Maine,2010,80,201080,maine.gov,48.6,Bangor INTL Airport,56.6,Maine CDC
Lake Auburn,Maine,2011,110,2011110,maine.gov,42.9,Bangor INTL Airport,76.3,Maine CDC
Lake Auburn,Maine,2012,,2012,,45.6,Bangor INTL Airport,83.7,Maine CDC
Lake Auburn,Maine,2013,103,2013103,maine.gov,41,Bangor INTL Airport,104.2,Maine CDC
Lake Auburn,Maine,2014,112,2014112,maine.gov,41.8,Bangor INTL Airport,106.2,Maine CDC
Lake Auburn,Maine,2015,112,2015112,maine.gov,40.7,Bangor INTL Airport,91.5,Maine CDC
Lake Auburn,Maine,2016,77,201677,maine.gov,40.2,Bangor INTL Airport,112.5,Maine CDC
Lake Auburn,Maine,2017,108,2017108,maine.gov,45.7,Bangor INTL Airport,139.2,Maine CDC
Lake Auburn,Maine,2018,114,2018114,maine.gov,40.8,Bangor INTL Airport,105.9,Maine CDC
Lake Auburn,Maine,2019,111,2019111,maine.gov,42.5,Bangor INTL Airport,161.8,Maine CDC
Lake Auburn,Maine,2020,93,202093,maine.gov,41.1,Bangor INTL Airport,83.6,Maine CDC
Lake Auburn,Maine,2021,93,202193,maine.gov,46.7,Bangor INTL Airport,110,Maine CDC
Lake Auburn,Maine,2022,96,202296,maine.gov,44.4,Bangor INTL Airport,191.4,Maine CDC
Lake Auburn,Maine,2023,101,2023101,maine.gov,44.3,Bangor INTL Airport,,
Lake Auburn,Maine,2024,71,202471,maine.gov,44.3,Bangor INTL Airport,,
